window_index,t_start,t_end,proposed_intent,effective_intent,did_change,change_reason,pose_mode,state_label,state_confidence,valence,arousal,valence_trend,arousal_trend,valence_volatility,arousal_volatility,analysis_time_s,video
0,0.0,3.0,CHECK_IN,CHECK_IN,True,first,REACTION_POSE,positive-low-arousal,0.5,0.6038402902280412,0.2922057408566882,mixed,mixed,0.031076431274414062,0.01991240680217743,13.28342580795288,video32
1,3.0,6.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.5856776513704439,0.3158853192154954,mixed,mixed,0.022414416074752808,0.013383612036705017,12.263227462768555,video32
2,6.0,9.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6499025607254447,0.34121384513047004,mixed,mixed,0.009189635515213013,0.017593666911125183,12.168848276138306,video32
3,9.0,12.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.652992373922976,0.3170151603294582,mixed,mixed,0.021901190280914307,0.02131102979183197,11.973504304885864,video32
4,12.0,15.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6623411098631417,0.34141932609604625,mixed,mixed,0.019965291023254395,0.029086515307426453,12.278987646102905,video32
5,15.0,18.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.55,0.6026790934364971,0.3411265405394682,falling,mixed,0.03839990496635437,0.01460777223110199,12.08620810508728,video32
6,18.0,21.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6108216559741555,0.3532975466876495,mixed,mixed,0.00964367389678955,0.011318735778331757,12.132710933685303,video32
7,21.0,24.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.5955653081579906,0.35763863601335666,mixed,mixed,0.008553892374038696,0.02540905773639679,12.278020143508911,video32
8,24.0,27.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6232099169638099,0.3410331252508047,mixed,mixed,0.00879862904548645,0.02001793682575226,12.272737979888916,video32
9,27.0,30.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6815529196727567,0.3602910521553784,mixed,mixed,0.02092200517654419,0.008301973342895508,12.072107076644897,video32
10,30.0,33.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6008685107638196,0.35074747644546556,mixed,mixed,0.026689916849136353,0.03545603156089783,12.18262791633606,video32
11,33.0,36.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6112613587117777,0.3516929516705071,mixed,mixed,0.019315451383590698,0.05024158954620361,12.153217554092407,video32
12,36.0,39.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.55,0.5852849516199856,0.34950479665180534,mixed,rising,0.01411503553390503,0.016732603311538696,11.986948728561401,video32
13,39.0,42.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.5584854221925503,0.3652232552810413,mixed,mixed,0.011926203966140747,0.031222835183143616,12.209207773208618,video32
14,42.0,45.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.5973346451433693,0.3529038932628748,mixed,mixed,0.02645111083984375,0.015610471367835999,12.077744960784912,video32
15,45.0,48.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6112534945330969,0.3362425373094838,mixed,mixed,0.0070060789585113525,0.01678803563117981,12.066123962402344,video32
16,48.0,51.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.55,0.6001538856000435,0.3302593783634465,falling,mixed,0.035561561584472656,0.022786468267440796,11.992833614349365,video32
17,51.0,54.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.5892329815684295,0.3330329949172532,mixed,mixed,0.010965019464492798,0.016550540924072266,12.187139987945557,video32
18,54.0,57.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6055204726573897,0.3436929628979869,mixed,mixed,0.009236901998519897,0.005593806505203247,12.031304836273193,video32
19,57.0,60.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.603489224140237,0.36839156288926195,mixed,mixed,0.007238268852233887,0.009649038314819336,12.049523115158081,video32
20,60.0,63.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.5991595067629,0.3057533259071955,mixed,mixed,0.01722019910812378,0.016724318265914917,12.44544506072998,video32
21,63.0,66.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.5845358237260725,0.315923805825594,mixed,mixed,0.010862767696380615,0.008090093731880188,12.042666912078857,video32
22,66.0,69.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6081375152599521,0.3117901639240544,mixed,mixed,0.006587803363800049,0.006711065769195557,12.338115215301514,video32
23,69.0,72.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.626256262020367,0.32483156643262723,mixed,mixed,0.025965183973312378,0.01938006281852722,12.154721736907959,video32
24,72.0,75.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6482984329142222,0.2947697944757415,mixed,mixed,0.01737445592880249,0.016276761889457703,12.326493740081787,video32
25,75.0,78.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6252006197847971,0.3039460668294895,mixed,mixed,0.013305246829986572,0.007429540157318115,12.245419263839722,video32
26,78.0,81.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6417572672774152,0.3224927628549134,mixed,mixed,0.007383525371551514,0.008104071021080017,12.160682678222656,video32
27,81.0,84.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6654380229188175,0.34082419825036353,mixed,mixed,0.0073899924755096436,0.01413223147392273,12.456933498382568,video32
28,84.0,87.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.5345337354555363,0.30406164014484827,mixed,mixed,0.009733140468597412,0.008887231349945068,12.26003360748291,video32
29,87.0,90.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.5040397687656123,0.30475520278985907,mixed,mixed,0.008614808320999146,0.013662666082382202,12.357885122299194,video32
